Slot,Card,Channel,Input_Output,Measurement_Type,Bridge_Type,Resistance,Gauge_Factor,Range,Name,Excitation_Required,Excitation_Voltage,Current,Input_Unit,Output_Unit,Sensitivity,Gain,Offset,Max,QtrBridge,ToInflux,Zero,Disable,Comments
2,PXIe-4330,ai1,in,Strain Gauge,Quarter,350,2.13597,,ROOT45AL,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,TRUE,Strain gauge at 0m from root  45deg orientation aluminium side
2,PXIe-4330,ai2,in,Strain Gauge,Quarter,350,2.13597,,ROOT0AL,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 0m from root 0deg orientation aluminium side
2,PXIe-4330,ai3,in,Strain Gauge,Quarter,350,2.13597,,ROOT90AL,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 0m from root 90deg orientation aluminium side
2,PXIe-4330,ai4,in,Strain Gauge,Quarter,350,2.13597,,204545AL,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 2.045m from root  45deg orientation aluminium side
2,PXIe-4330,ai5,in,Strain Gauge,Quarter,350,2.13597,,20450AL,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 2.045m from root 0deg orientation aluminium side
2,PXIe-4330,ai6,in,Strain Gauge,Quarter,350,2.13597,,204590AL,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 2.045m from root 90deg orientation aluminium side
2,PXIe-4330,ai7,in,Strain Gauge,Quarter,350,2.13597,,204545F,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 2.045m from root  45deg orientation foam side
3,PXIe-4330,ai0,in,Strain Gauge,Quarter,350,2.13597,,20450F,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 2.045m from root 0deg orientation foam side
3,PXIe-4330,ai1,in,Strain Gauge,Quarter,350,2.13597,,204590F,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 2.045m from root 90deg orientation foam side
3,PXIe-4330,ai2,in,Strain Gauge,Quarter,350,2.13597,,151045AL,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 1.510m from root  45deg orientation aluminium side
3,PXIe-4330,ai3,in,Strain Gauge,Quarter,350,2.13597,,15100AL,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 1.510m from root  0deg orientation aluminium side
3,PXIe-4330,ai4,in,Strain Gauge,Quarter,350,2.13597,,151090AL,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 1.510m from root  90deg orientation aluminium side
3,PXIe-4330,ai5,in,Strain Gauge,Quarter,350,2.13597,,151045F,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 1.510m from root  45deg orientation foam side
3,PXIe-4330,ai6,in,Strain Gauge,Quarter,350,2.13597,,15100F,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 1.510m from root 0deg orientation foam side
3,PXIe-4330,ai7,in,Strain Gauge,Quarter,350,2.13597,,151090F,TRUE,10,,V/V,strain,,4.68E-01,0,0.0044,TRUE,TRUE,TRUE,FALSE,Strain gauge at 1.510m from root 90deg orientation foam side
4,PXIe-4331,ai0,in,Strain Gauge,Full,1000,,,KP1,TRUE,10,,V/V,Pa,,3.83E+06,0,1.00E+00,FALSE,FALSE,TRUE,FALSE,Kulite 1
4,PXIe-4331,ai1,in,Strain Gauge,Full,1000,,,KP2,TRUE,10,,V/V,Pa,,3.52E+06,0,1.00E+00,FALSE,FALSE,TRUE,FALSE,Kulite 2
4,PXIe-4331,ai2,in,Strain Gauge,Full,1000,,,KP3,TRUE,10,,V/V,Pa,,4.12E+06,0,1.00E+00,FALSE,FALSE,TRUE,FALSE,Kulite 3
4,PXIe-4331,ai3,in,Strain Gauge,Full,1000,,,KP4,TRUE,10,,V/V,Pa,,3.76E+06,0,1.00E+00,FALSE,FALSE,TRUE,FALSE,Kulite 4
4,PXIe-4331,ai4,in,Strain Gauge,Full,1000,,,KP5,TRUE,10,,V/V,Pa,,3.46E+06,0,1.00E+00,FALSE,FALSE,TRUE,FALSE,Kulite 5
4,PXIe-4331,ai5,in,Strain Gauge,Full,1000,,,KP6,TRUE,10,,V/V,Pa,,1.04E+06,0,1.00E+00,FALSE,FALSE,TRUE,FALSE,Kulite 6
4,PXIe-4331,ai6,in,Strain Gauge,Full,1000,,,KP7,TRUE,10,,V/V,Pa,,3.43E+06,0,1.00E+00,FALSE,FALSE,TRUE,FALSE,Kulite 7
